address,price,link,bedrooms,bathrooms,cleaned_address,Latitude,Longitude
"8 Eastlea Cres, Toronto, ON M1T 3A6",$1.10M,https://www.zillow.com/homedetails/8-Eastlea-Cres-Toronto-ON-M1T-3A6/2062228910_zpid/,3,3,"8 Eastlea Cres, ON",43.79626752,-79.30098854
"166 Gristone Cres, Toronto, ON M1X 1T4","C$800,000",https://www.zillow.com/homedetails/166-Gristone-Cres-Toronto-ON-M1X-1T4/2062216868_zpid/,3,3,"166 Gristone Cres, ON",43.82514595,-79.21337149
"56 Greybeaver Trl, Toronto, ON M1C 4N6",$1.10M,https://www.zillow.com/homedetails/56-Greybeaver-Trl-Toronto-ON-M1C-4N6/2062248646_zpid/,--,--,"56 Greybeaver Trl, ON",43.78739373,-79.12676226
"25 Muirdale Ave, Toronto, ON M9R 2V3",$1.61M,https://www.zillow.com/homedetails/25-Muirdale-Ave-Toronto-ON-M9R-2V3/2062228605_zpid/,--,--,"25 Muirdale Ave, ON",43.68363534,-79.54936357
"219 Richview Ave, Toronto, ON M5P 3G2",$3.45M,https://www.zillow.com/homedetails/219-Richview-Ave-Toronto-ON-M5P-3G2/2062228627_zpid/,5,6,"219 Richview Ave, ON",43.6950935,-79.42155944
"38 Noranda Dr, Toronto, ON M6M 2X9",$1.63M,https://www.zillow.com/homedetails/38-Noranda-Dr-Toronto-ON-M6M-2X9/2062144956_zpid/,--,--,"38 Noranda Dr, ON",43.70073042,-79.49084799
"53 Challenger Ct, Toronto, ON M1C 4Z4",$1.49M,https://www.zillow.com/homedetails/53-Challenger-Ct-Toronto-ON-M1C-4Z4/2062211644_zpid/,--,--,"53 Challenger Ct, ON",43.78900092,-79.18442341
"80 Crayford Dr, Toronto, ON M1W 3B6",$1.19M,https://www.zillow.com/homedetails/80-Crayford-Dr-Toronto-ON-M1W-3B6/2062241908_zpid/,--,--,"80 Crayford Dr, ON",43.81496058,-79.33481965
"74 Brentcliffe Rd, Toronto, ON M4G 3Y6",$1.89M,https://www.zillow.com/homedetails/74-Brentcliffe-Rd-Toronto-ON-M4G-3Y6/2062350203_zpid/,--,--,"74 Brentcliffe Rd, ON",43.7167936,-79.3612808
"6 Tripp Cres, Toronto, ON M1P 1B5",$1.03M,https://www.zillow.com/homedetails/6-Tripp-Cres-Toronto-ON-M1P-1B5/2062267621_zpid/,--,--,"6 Tripp Cres, ON",43.74246785,-79.28016051
"196 Lawrence Ave W, Toronto, ON M5M 1A8",$1.23M,https://www.zillow.com/homedetails/196-Lawrence-Ave-W-Toronto-ON-M5M-1A8/2062539387_zpid/,3,3,"196 Lawrence Ave W., ON",43.72342411,-79.41083582
"1128 Woodbine Ave, Toronto, ON M4C 4C8",$1.02M,https://www.zillow.com/homedetails/1128-Woodbine-Ave-Toronto-ON-M4C-4C8/2062171909_zpid/,--,--,"1128 Woodbine Ave, ON",43.689743,-79.314682
"20 Snowberry Ave, Toronto, ON M9N 3G4",$1.04M,https://www.zillow.com/homedetails/20-Snowberry-Ave-Toronto-ON-M9N-3G4/2062170759_zpid/,3,2,"20 Snowberry Ave, ON",43.71320643,-79.52065483
"16 Alderbrook Dr, Toronto, ON M3B 1E4",$3.80M,https://www.zillow.com/homedetails/16-Alderbrook-Dr-Toronto-ON-M3B-1E4/2062241905_zpid/,--,--,"16 Alderbrook Dr, ON",43.7375644,-79.3651415
"7 Stainforth Dr, Toronto, ON M1S 1L9",$1.35M,https://www.zillow.com/homedetails/7-Stainforth-Dr-Toronto-ON-M1S-1L9/2062100870_zpid/,--,--,"7 Stainforth Dr, ON",43.7926318,-79.2856401
"268 Saint Germain Ave, Toronto, ON M5M 1W3",$1.90M,https://www.zillow.com/homedetails/268-Saint-Germain-Ave-Toronto-ON-M5M-1W3/2062386364_zpid/,4,2,"268 Saint Germain Ave, ON",30.44019062,-90.10816401
"39 Hillfarm Dr, Toronto, ON M1V 3C6",$1.39M,https://www.zillow.com/homedetails/39-Hillfarm-Dr-Toronto-ON-M1V-3C6/2062204051_zpid/,--,--,"39 Hillfarm Dr, ON",43.8258665,-79.2708025
"7 Weetwood St, Toronto, ON M5M 4C9",$3.20M,https://www.zillow.com/homedetails/7-Weetwood-St-Toronto-ON-M5M-4C9/2063373854_zpid/,--,--,"7 Weetwood St, ON",43.7315351,-79.4210635
"5 Astoria Ave, Toronto, ON M6N 2V5","C$715,000",https://www.zillow.com/homedetails/5-Astoria-Ave-Toronto-ON-M6N-2V5/2062171889_zpid/,3,1,"5 Astoria Ave, ON",43.68456948,-79.49030937
"180 Holborne Ave, Toronto, ON M4C 2R8",$1.35M,https://www.zillow.com/homedetails/180-Holborne-Ave-Toronto-ON-M4C-2R8/2071828801_zpid/,4,4,"180 Holborne Ave, ON",43.6953725,-79.31618071
"21 Gardentree St, Toronto, ON M1E 2E8","C$850,000",https://www.zillow.com/homedetails/21-Gardentree-St-Toronto-ON-M1E-2E8/2062242594_zpid/,3,2,"21 Gardentree St, ON",43.75812092,-79.18636438
"20 Brooklawn Ave, Toronto, ON M1M 2P4",$1.06M,https://www.zillow.com/homedetails/20-Brooklawn-Ave-Toronto-ON-M1M-2P4/2062647050_zpid/,2,2,"20 Brooklawn Ave, ON",43.71518668,-79.23311308
"125 Village Green Sq #1806, Toronto, ON M1S 0G3","C$540,000",https://www.zillow.com/homedetails/125-Village-Green-Sq-1806-Toronto-ON-M1S-0G3/2062861015_zpid/,1,1,"125 Village Green Sq , ON",43.7774165,-79.2812115
"3 Mossbrook Cres, Toronto, ON M1W 2W8",$1.25M,https://www.zillow.com/homedetails/3-Mossbrook-Cres-Toronto-ON-M1W-2W8/2062115147_zpid/,2,1,"3 Mossbrook Cres, ON",43.80907015,-79.32569825
"55 Seamist Cres, Toronto, ON M1V 3K3","C$855,000",https://www.zillow.com/homedetails/55-Seamist-Cres-Toronto-ON-M1V-3K3/2062258005_zpid/,3,2,"55 Seamist Cres, ON",43.8277795,-79.2743905
"52 Elm Grove Ave, Toronto, ON M6K 2J3",$1.50M,https://www.zillow.com/homedetails/52-Elm-Grove-Ave-Toronto-ON-M6K-2J3/2062153026_zpid/,--,--,"52 Elm Grove Ave, ON",43.64063075,-79.43144828
"9 Gunton Dr, Toronto, ON M9W 3G9",$1.14M,https://www.zillow.com/homedetails/9-Gunton-Dr-Toronto-ON-M9W-3G9/2062241891_zpid/,--,--,"9 Gunton Dr, ON",43.72494105,-79.5767888
"174 Windermere Ave, Toronto, ON M6S 3J7",$1.44M,https://www.zillow.com/homedetails/174-Windermere-Ave-Toronto-ON-M6S-3J7/2062255493_zpid/,4,4,"174 Windermere Ave, ON",43.642384,-79.47623952
"43 Culnan Ave, Toronto, ON M8Z 5B1","C$999,000",https://www.zillow.com/homedetails/43-Culnan-Ave-Toronto-ON-M8Z-5B1/2062584766_zpid/,--,--,"43 Culnan Ave, ON",43.62415854,-79.52524846
"30 Western Battery Rd #329, Toronto, ON M6K 3N9","C$760,000",https://www.zillow.com/homedetails/30-Western-Battery-Rd-329-Toronto-ON-M6K-3N9/2063444291_zpid/,--,--,"30 Western Battery Rd , ON",43.6396442,-79.41247211
"115 Neames Cres, Toronto, ON M3L 1K8","C$875,000",https://www.zillow.com/homedetails/115-Neames-Cres-Toronto-ON-M3L-1K8/2062481190_zpid/,--,--,"115 Neames Cres, ON",43.72870342,-79.5126524
"80 Castlebury Cres #3, Toronto, ON M2H 1W8",$--,https://www.zillow.com/homedetails/80-Castlebury-Cres-3-Toronto-ON-M2H-1W8/2065457975_zpid/,--,--,"80 Castlebury Cres , ON",43.7968787,-79.3716559
"691 Eglinton Ave E, Toronto, ON M4G 2K6",$1.31M,https://www.zillow.com/homedetails/691-Eglinton-Ave-E-Toronto-ON-M4G-2K6/2062172371_zpid/,3,3,"691 Eglinton Ave E., ON",43.71232249,-79.37021141
"310 Patricia Ave, Toronto, ON M2R 2M5",$1.36M,https://www.zillow.com/homedetails/310-Patricia-Ave-Toronto-ON-M2R-2M5/2062241912_zpid/,3,2,"310 Patricia Ave, ON",43.787067,-79.43307796
"65 George Appleton Way #2087, Toronto, ON M3M 0A2","C$525,000",https://www.zillow.com/homedetails/65-George-Appleton-Way-2087-Toronto-ON-M3M-0A2/2063304548_zpid/,--,--,"65 George Appleton Way , ON",43.72517326,-79.48101946
"7 Salisbury Ave, Toronto, ON M4X 1C3",$1.50M,https://www.zillow.com/homedetails/7-Salisbury-Ave-Toronto-ON-M4X-1C3/2063509468_zpid/,3,3,"7 Salisbury Ave, ON",43.6668665,-79.3669443
"552 McLevin Ave, Toronto, ON M1B 4H4",$1.02M,https://www.zillow.com/homedetails/552-McLevin-Ave-Toronto-ON-M1B-4H4/2062376988_zpid/,--,--,"552 Mclevin Ave, ON",43.81066952,-79.2144469
"2550 Pharmacy Ave #1610, Toronto, ON M1W 1H9","C$555,000",https://www.zillow.com/homedetails/2550-Pharmacy-Ave-1610-Toronto-ON-M1W-1H9/2078203557_zpid/,2,1,"2550 Pharmacy Ave , ON",43.793313,-79.32616422
"360 Rhodes Ave, Toronto, ON M4L 3A3",$1.83M,https://www.zillow.com/homedetails/360-Rhodes-Ave-Toronto-ON-M4L-3A3/2063172568_zpid/,3,3,"360 Rhodes Ave, ON",43.6746644,-79.3213575
"21 Greenock Ave, Toronto, ON M1G 2Z7",$1.27M,https://www.zillow.com/homedetails/21-Greenock-Ave-Toronto-ON-M1G-2Z7/2065458038_zpid/,--,--,"21 Greenock Ave, ON",43.7723227,-79.2175639
"103 The Queensway #815, Toronto, ON M6S 5B3","C$667,000",https://www.zillow.com/homedetails/103-The-Queensway-815-Toronto-ON-M6S-5B3/2063508857_zpid/,2,1,"103 The Queensway , ON",43.63629085,-79.47037419
"33 Empress Ave #1511, Toronto, ON M2N 6Y7",$1.07M,https://www.zillow.com/homedetails/33-Empress-Ave-1511-Toronto-ON-M2N-6Y7/2065551164_zpid/,2,2,"33 Empress Ave , ON",43.7692802,-79.4126333
"223 Saint Clair Ave W, Toronto, ON M4V 1R4","C$645,000",https://www.zillow.com/homedetails/223-Saint-Clair-Ave-W-Toronto-ON-M4V-1R4/2080848207_zpid/,2,2,"223 Saint Clair Ave W., ON",43.68732725,-79.39606589
"21 Shaftesbury Ave #301, Toronto, ON M4T 3B4",$1.45M,https://www.zillow.com/homedetails/21-Shaftesbury-Ave-301-Toronto-ON-M4T-3B4/2063243533_zpid/,--,--,"21 Shaftesbury Ave , ON",43.6819434,-79.39046612
"55 Regent Park Blvd #105, Toronto, ON M5A 0C2",$1.16M,https://www.zillow.com/homedetails/55-Regent-Park-Blvd-105-Toronto-ON-M5A-0C2/2064116822_zpid/,3,2,"55 Regent Park Blvd , ON",43.65975063,-79.36154636
"55 Regent Park Blvd #2402, Toronto, ON M5A 0C2","C$902,800",https://www.zillow.com/homedetails/55-Regent-Park-Blvd-2402-Toronto-ON-M5A-0C2/2065622840_zpid/,2,2,"55 Regent Park Blvd , ON",43.65975063,-79.36154636
"19 Valhalla Inn Rd #TOWNHOUSE, Toronto, ON M9B 0B3",$--,https://www.zillow.com/homedetails/19-Valhalla-Inn-Rd-TOWNHOUSE-Toronto-ON-M9B-0B3/2065806184_zpid/,3,3,"19 Valhalla Inn Rd , ON",43.6411796,-79.55901145
"390 Cherry St #1610, Toronto, ON M5A 0E2",$1.11M,https://www.zillow.com/homedetails/390-Cherry-St-1610-Toronto-ON-M5A-0E2/2063265892_zpid/,2,2,"390 Cherry St , ON",43.651154,-79.3574988
"4673 Jane St #610, Toronto, ON M3N 2L1","C$289,900",https://www.zillow.com/homedetails/4673-Jane-St-610-Toronto-ON-M3N-2L1/2063454329_zpid/,--,--,"4673 Jane St , ON",43.77017,-79.51999369
"70 Gypsy Roseway, Toronto, ON M2N 5Y9",$1.36M,https://www.zillow.com/homedetails/70-Gypsy-Roseway-Toronto-ON-M2N-5Y9/2063274274_zpid/,--,--,"70 Gypsy Roseway, ON",43.76410744,-79.39539424
"825 Church St #812, Toronto, ON M4W 3Z4",$1.48M,https://www.zillow.com/homedetails/825-Church-St-812-Toronto-ON-M4W-3Z4/2063228772_zpid/,--,--,"825 Church St , ON",43.6729841,-79.38688035
"43 Hanna Ave #104, Toronto, ON M6K 1X1",$1.90M,https://www.zillow.com/homedetails/43-Hanna-Ave-104-Toronto-ON-M6K-1X1/2071489401_zpid/,--,--,"43 Hanna Ave , ON",43.63901145,-79.41892578
"222 The Esplanade #1224, Toronto, ON M5A 4M8","C$730,000",https://www.zillow.com/homedetails/222-The-Esplanade-1224-Toronto-ON-M5A-4M8/2066397348_zpid/,1,1,"222 The Esplanade , ON",43.6495974,-79.3654009
"326 Carlaw Ave #117, Toronto, ON M4M 3N8",$1.39M,https://www.zillow.com/homedetails/326-Carlaw-Ave-117-Toronto-ON-M4M-3N8/2063304455_zpid/,2,2,"326 Carlaw Ave , ON",43.66441004,-79.3416203
"11 Downing St, Toronto, ON M9B 1E9",$3.38M,https://www.zillow.com/homedetails/11-Downing-St-Toronto-ON-M9B-1E9/2064264028_zpid/,--,--,"11 Downing St, ON",43.6359035,-79.54445652
"276 Hastings Ave, Toronto, ON M4L 2M1",$1.80M,https://www.zillow.com/homedetails/276-Hastings-Ave-Toronto-ON-M4L-2M1/2071833805_zpid/,--,--,"276 Hastings Ave, ON",43.6713964,-79.3323678
"93 Allanhurst Dr, Toronto, ON M9A 4K3",$2.10M,https://www.zillow.com/homedetails/93-Allanhurst-Dr-Toronto-ON-M9A-4K3/2064208958_zpid/,--,--,"93 Allanhurst Dr, ON",43.679623,-79.5191478
"17 Curzon St, Toronto, ON M4M 3B3",$1.71M,https://www.zillow.com/homedetails/17-Curzon-St-Toronto-ON-M4M-3B3/2064279500_zpid/,--,--,"17 Curzon St, ON",43.66367483,-79.33156983
"65 Tilden Cres, Toronto, ON M9P 1V8",$1.65M,https://www.zillow.com/homedetails/65-Tilden-Cres-Toronto-ON-M9P-1V8/2071820950_zpid/,4,3,"65 Tilden Cres, ON",43.69520302,-79.51525087
"140 Woodycrest Ave, Toronto, ON M4J 3B6",$1.71M,https://www.zillow.com/homedetails/140-Woodycrest-Ave-Toronto-ON-M4J-3B6/2071893945_zpid/,--,--,"140 Woodycrest Ave, ON",43.6853859,-79.3440538
"5 Bernice Ave, Toronto, ON M8Y 1Z5",$1.90M,https://www.zillow.com/homedetails/5-Bernice-Ave-Toronto-ON-M8Y-1Z5/2064270856_zpid/,4,3,"5 Bernice Ave, ON",43.63796288,-79.49992923
"10 Northtown Way #1807, Toronto, ON M2N 7L4","C$730,000",https://www.zillow.com/homedetails/10-Northtown-Way-1807-Toronto-ON-M2N-7L4/2065399166_zpid/,1,1,"10 Northtown Way , ON",43.7757846,-79.41324472
"1 1/2 Montrose Ave, Toronto, ON M6J 2T6",$1.75M,https://www.zillow.com/homedetails/1-1-2-Montrose-Ave-Toronto-ON-M6J-2T6/2081979610_zpid/,1,1,"1 1/2 Montrose Ave, ON",43.65275862,-79.4169266
"500 Richmond St W #119, Toronto, ON M5V 3N4",$1.10M,https://www.zillow.com/homedetails/500-Richmond-St-W-119-Toronto-ON-M5V-3N4/2063305005_zpid/,2,1,"500 Richmond St W. , ON",43.6476444,-79.39888052
"378 Dudley Ave, Toronto, ON M2N 6M3",$2.37M,https://www.zillow.com/homedetails/378-Dudley-Ave-Toronto-ON-M2N-6M3/2064264207_zpid/,--,--,"378 Dudley Ave, ON",43.779839,-79.4093387
"120 Homewood Ave #3504, Toronto, ON M4Y 2J3","C$927,880",https://www.zillow.com/homedetails/120-Homewood-Ave-3504-Toronto-ON-M4Y-2J3/2066600433_zpid/,--,--,"120 Homewood Ave , ON",43.6666917,-79.37621984
"56 Edgecombe Ave, Toronto, ON M5N 2X3",$2.50M,https://www.zillow.com/homedetails/56-Edgecombe-Ave-Toronto-ON-M5N-2X3/2064279445_zpid/,4,4,"56 Edgecombe Ave, ON",43.7197703,-79.41621765
"67 Woodbine Ave, Toronto, ON M4L 3P1",$1.60M,https://www.zillow.com/homedetails/67-Woodbine-Ave-Toronto-ON-M4L-3P1/2065505407_zpid/,3,3,"67 Woodbine Ave, ON",43.6663087,-79.30455281
"5 Darlington Dr, Toronto, ON M8Z 3M3",$1.83M,https://www.zillow.com/homedetails/5-Darlington-Dr-Toronto-ON-M8Z-3M3/2071806730_zpid/,--,--,"5 Darlington Dr, ON",43.6343105,-79.506773
"609 Avenue Rd #302, Toronto, ON M4V 0B1",$1.25M,https://www.zillow.com/homedetails/609-Avenue-Rd-302-Toronto-ON-M4V-0B1/2071851453_zpid/,3,2,"609 Avenue Rd , ON",43.6896946,-79.40213757
"383 Sorauren Ave #614, Toronto, ON M6R 0A4",$1.07M,https://www.zillow.com/homedetails/383-Sorauren-Ave-614-Toronto-ON-M6R-0A4/2063295308_zpid/,2,2,"383 Sorauren Ave , ON",43.6503029,-79.44447819
"6 Edna Ave, Toronto, ON M6P 1B5",$1.59M,https://www.zillow.com/homedetails/6-Edna-Ave-Toronto-ON-M6P-1B5/2064218833_zpid/,--,--,"6 Edna Ave, ON",43.65733995,-79.45331285
"503 Davisville Ave, Toronto, ON M4S 1J2",$1.95M,https://www.zillow.com/homedetails/503-Davisville-Ave-Toronto-ON-M4S-1J2/2064317756_zpid/,--,--,"503 Davisville Ave, ON",43.70231541,-79.37697213
"175 Pears Ave #TOWNHOUSE, Toronto, ON M5R 0C1",$1.30M,https://www.zillow.com/homedetails/175-Pears-Ave-TOWNHOUSE-Toronto-ON-M5R-0C1/2066521681_zpid/,2,2,"175 Pears Ave , ON",43.67588354,-79.39524732
"20 Shore Breeze Dr #506, Toronto, ON M8V 0C7",$1.06M,https://www.zillow.com/homedetails/20-Shore-Breeze-Dr-506-Toronto-ON-M8V-0C7/2068479846_zpid/,2,2,"20 Shore Breeze Dr , ON",43.6238249,-79.47940635
"37 Alvin Curling Cres, Toronto, ON M1V 0E7",$1.85M,https://www.zillow.com/homedetails/37-Alvin-Curling-Cres-Toronto-ON-M1V-0E7/2064208960_zpid/,--,--,"37 Alvin Curling Cres, ON",43.8210257,-79.277833
"56 Davisbrook Blvd, Toronto, ON M1T 2H9",$1.50M,https://www.zillow.com/homedetails/56-Davisbrook-Blvd-Toronto-ON-M1T-2H9/2064239571_zpid/,4,3,"56 Davisbrook Blvd, ON",43.78229967,-79.30583634
"308 Gladstone Ave, Toronto, ON M6J 3L6",$2.40M,https://www.zillow.com/homedetails/308-Gladstone-Ave-Toronto-ON-M6J-3L6/2064264208_zpid/,--,--,"308 Gladstone Ave, ON",43.65176522,-79.43088133
"35 Gentian Dr, Toronto, ON M9C 4E8",$1.50M,https://www.zillow.com/homedetails/35-Gentian-Dr-Toronto-ON-M9C-4E8/2064285911_zpid/,5,3,"35 Gentian Dr, ON",43.6649766,-79.5846882
"7 Fundy Bay Blvd, Toronto, ON M1W 3A1",$1.18M,https://www.zillow.com/homedetails/7-Fundy-Bay-Blvd-Toronto-ON-M1W-3A1/2066512978_zpid/,--,--,"7 Fundy Bay Blvd, ON",43.8105058,-79.31254742
"246 Centennial Rd, Toronto, ON M1C 1Z9",$1.61M,https://www.zillow.com/homedetails/246-Centennial-Rd-Toronto-ON-M1C-1Z9/2064193420_zpid/,--,--,"246 Centennial Rd, ON",43.78533428,-79.15002512
"267 Yonge Blvd, Toronto, ON M5M 3J1",$2.10M,https://www.zillow.com/homedetails/267-Yonge-Blvd-Toronto-ON-M5M-3J1/2064193700_zpid/,3,2,"267 Yonge Blvd, ON",43.74469583,-79.41726988
"2223 Queen St E, Toronto, ON M4E 1E8",$1.93M,https://www.zillow.com/homedetails/2223-Queen-St-E-Toronto-ON-M4E-1E8/2064193407_zpid/,--,--,"2223 Queen St E., ON",43.6707868,-79.29576747
"34 Dunwatson Dr, Toronto, ON M1C 3M2",$1.83M,https://www.zillow.com/homedetails/34-Dunwatson-Dr-Toronto-ON-M1C-3M2/2064208900_zpid/,--,--,"34 Dunwatson Dr, ON",43.78158434,-79.15502005
"103 The Queensway #1404, Toronto, ON M6S 5B3",$1.10M,https://www.zillow.com/homedetails/103-The-Queensway-1404-Toronto-ON-M6S-5B3/2063444279_zpid/,--,--,"103 The Queensway , ON",43.63629085,-79.47037419
"254 Westmoreland Ave, Toronto, ON M6H 3A5",$1.70M,https://www.zillow.com/homedetails/254-Westmoreland-Ave-Toronto-ON-M6H-3A5/2064279726_zpid/,4,3,"254 Westmoreland Ave, ON",43.66757148,-79.4333045
"103 Greybeaver Trl, Toronto, ON M1C 4V4",$1.72M,https://www.zillow.com/homedetails/103-Greybeaver-Trl-Toronto-ON-M1C-4V4/2064289001_zpid/,--,--,"103 Greybeaver Trl, ON",43.78863702,-79.12908965
"19 Flerimac Rd, Toronto, ON M1E 4B1",$2.30M,https://www.zillow.com/homedetails/19-Flerimac-Rd-Toronto-ON-M1E-4B1/2064305452_zpid/,5,5,"19 Flerimac Rd, ON",43.773661,-79.16932315
"75 York Mills Rd #503, Toronto, ON M2P 2E7",$1.11M,https://www.zillow.com/homedetails/75-York-Mills-Rd-503-Toronto-ON-M2P-2E7/2064132210_zpid/,--,--,"75 York Mills Rd , ON",43.744048,-79.40112685
"119 Donegall Dr, Toronto, ON M4G 3H1",$3.28M,https://www.zillow.com/homedetails/119-Donegall-Dr-Toronto-ON-M4G-3H1/2064208944_zpid/,--,--,"119 Donegall Dr, ON",43.70958909,-79.37519643
"108 Arundel Ave, Toronto, ON M4K 3A4",$2.50M,https://www.zillow.com/homedetails/108-Arundel-Ave-Toronto-ON-M4K-3A4/2064244321_zpid/,--,--,"108 Arundel Ave, ON",43.68102064,-79.35208897
"1B Holborne Ave, Toronto, ON M4C 2R4",$2.39M,https://www.zillow.com/homedetails/1B-Holborne-Ave-Toronto-ON-M4C-2R4/2064244326_zpid/,--,--,"1B Holborne Ave, ON",43.69396265,-79.32157816
"476 Atlas Ave, Toronto, ON M6C 3R2",$2.33M,https://www.zillow.com/homedetails/476-Atlas-Ave-Toronto-ON-M6C-3R2/2064286989_zpid/,3,4,"476 Atlas Ave, ON",43.69425422,-79.43690491
"81 Hopedale Ave, Toronto, ON M4K 3M9",$1.70M,https://www.zillow.com/homedetails/81-Hopedale-Ave-Toronto-ON-M4K-3M9/2064289146_zpid/,3,1,"81 Hopedale Ave, ON",43.6956285,-79.3521684
"174 Pearson Ave, Toronto, ON M6R 1G5",$1.61M,https://www.zillow.com/homedetails/174-Pearson-Ave-Toronto-ON-M6R-1G5/2065414519_zpid/,--,--,"174 Pearson Ave, ON",43.6423023,-79.44629952
"45 Glenvale Blvd, Toronto, ON M4G 2V4",$2.28M,https://www.zillow.com/homedetails/45-Glenvale-Blvd-Toronto-ON-M4G-2V4/2071561836_zpid/,3,2,"45 Glenvale Blvd, ON",43.71667377,-79.37475828
"8 Eglinton Ave E #4711, Toronto, ON M4P 0C1",$1.08M,https://www.zillow.com/homedetails/8-Eglinton-Ave-E-4711-Toronto-ON-M4P-0C1/2071833394_zpid/,--,--,"8 Eglinton Ave E. , ON",43.7072672,-79.39796374
"223 Fairlawn Ave, Toronto, ON M5M 1S9",$2.03M,https://www.zillow.com/homedetails/223-Fairlawn-Ave-Toronto-ON-M5M-1S9/2064219377_zpid/,--,--,"223 Fairlawn Ave, ON",43.7292434,-79.4108029
"181 Bingham Ave, Toronto, ON M4E 3R4",$1.89M,https://www.zillow.com/homedetails/181-Bingham-Ave-Toronto-ON-M4E-3R4/2064221543_zpid/,3,4,"181 Bingham Ave, ON",43.6830208,-79.2859246
"175 Ellerslie Ave, Toronto, ON M2N 1Y3",$1.52M,https://www.zillow.com/homedetails/175-Ellerslie-Ave-Toronto-ON-M2N-1Y3/2064264202_zpid/,3,1,"175 Ellerslie Ave, ON",43.76961994,-79.4217032
"26 Linelle St, Toronto, ON M2N 2J3",$1.42M,https://www.zillow.com/homedetails/26-Linelle-St-Toronto-ON-M2N-2J3/2064181086_zpid/,--,--,"26 Linelle St, ON",43.75523681,-79.41094082
"330 Kingswood Rd, Toronto, ON M4E 3N9",$1.62M,https://www.zillow.com/homedetails/330-Kingswood-Rd-Toronto-ON-M4E-3N9/2064235315_zpid/,2,2,"330 Kingswood Rd, ON",43.68217077,-79.28696027
"64 Saulter St, Toronto, ON M4M 2H7",$1.81M,https://www.zillow.com/homedetails/64-Saulter-St-Toronto-ON-M4M-2H7/2064262315_zpid/,--,--,"64 Saulter St, ON",43.65836973,-79.34712312
"73 Sonmore Dr, Toronto, ON M1S 1X3",$1.48M,https://www.zillow.com/homedetails/73-Sonmore-Dr-Toronto-ON-M1S-1X3/2064279914_zpid/,6,4,"73 Sonmore Dr, ON",43.78380033,-79.27281208
"72 Waterloo Ave, Toronto, ON M3H 3Y4",$1.43M,https://www.zillow.com/homedetails/72-Waterloo-Ave-Toronto-ON-M3H-3Y4/2065424764_zpid/,5,2,"72 Waterloo Ave, ON",43.7590183,-79.443259
